0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Espana Op. 165"
1, 0, Title_t, "Prelude"
1, 0, Copyright_t, "Copyright © 2001 by Bernd Krueger"
1, 0, Text_t, "Isaac Albeniz"
1, 0, Text_t, "Andantino"
1, 0, Text_t, "Fertiggestellt  27.01.2001\012"
1, 0, Text_t, "Update: 18.03.2001\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 28.10.2010\012"
1, 0, Text_t, "Dauer: 1:36 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 642192
1, 480, Tempo, 617920
1, 1440, Tempo, 563380
1, 1920, Tempo, 533333
1, 2160, Tempo, 538117
1, 2200, Tempo, 524017
1, 2400, Tempo, 533333
1, 2640, Tempo, 547945
1, 2880, Tempo, 504202
1, 3120, Tempo, 487805
1, 3360, Tempo, 470588
1, 3600, Tempo, 508475
1, 3840, Tempo, 504202
1, 4080, Tempo, 555556
1, 4320, Tempo, 579710
1, 4800, Tempo, 603015
1, 5760, Tempo, 645786
1, 5840, Tempo, 568559
1, 6000, Tempo, 500000
1, 6240, Tempo, 495868
1, 6480, Tempo, 485830
1, 6720, Tempo, 481928
1, 6960, Tempo, 489796
1, 7200, Tempo, 468750
1, 7440, Tempo, 480000
1, 7680, Tempo, 442804
1, 7920, Tempo, 459770
1, 8160, Tempo, 472441
1, 8400, Tempo, 483871
1, 8640, Tempo, 459770
1, 8840, Tempo, 474308
1, 8920, Tempo, 476190
1, 8980, Tempo, 478088
1, 9040, Tempo, 480000
1, 9100, Tempo, 481928
1, 9180, Tempo, 483871
1, 9240, Tempo, 485830
1, 9300, Tempo, 487805
1, 9360, Tempo, 489796
1, 9440, Tempo, 491803
1, 9500, Tempo, 493827
1, 9560, Tempo, 495868
1, 9620, Tempo, 497925
1, 9700, Tempo, 500000
1, 9760, Tempo, 502092
1, 9820, Tempo, 504202
1, 9880, Tempo, 506329
1, 9940, Tempo, 508475
1, 9960, Tempo, 545455
1, 10080, Tempo, 491803
1, 10320, Tempo, 510638
1, 10560, Tempo, 526316
1, 10720, Tempo, 542986
1, 10760, Tempo, 545455
1, 10800, Tempo, 547945
1, 10840, Tempo, 550459
1, 10880, Tempo, 552995
1, 10920, Tempo, 555556
1, 10960, Tempo, 558140
1, 11000, Tempo, 560748
1, 11040, Tempo, 563380
1, 11080, Tempo, 566038
1, 11120, Tempo, 568720
1, 11160, Tempo, 571429
1, 11200, Tempo, 574163
1, 11240, Tempo, 576923
1, 11280, Tempo, 579710
1, 11320, Tempo, 582524
1, 11360, Tempo, 585366
1, 11400, Tempo, 588235
1, 11440, Tempo, 591133
1, 11520, Tempo, 624610
1, 11560, Tempo, 628075
1, 11680, Tempo, 631512
1, 11760, Tempo, 642192
1, 12000, Tempo, 617920
1, 12960, Tempo, 560748
1, 13440, Tempo, 533333
1, 13680, Tempo, 524017
1, 13920, Tempo, 535714
1, 14160, Tempo, 542986
1, 14400, Tempo, 512821
1, 14640, Tempo, 493827
1, 14880, Tempo, 485830
1, 15120, Tempo, 519481
1, 15360, Tempo, 510638
1, 15600, Tempo, 563380
1, 15720, Tempo, 528634
1, 15840, Tempo, 603015
1, 16320, Tempo, 618557
1, 17280, Tempo, 528634
1, 17520, Tempo, 491803
1, 17760, Tempo, 504202
1, 18000, Tempo, 512821
1, 18240, Tempo, 524017
1, 18480, Tempo, 568720
1, 18600, Tempo, 524017
1, 18720, Tempo, 579710
1, 19200, Tempo, 597015
1, 20160, Tempo, 519481
1, 20400, Tempo, 495868
1, 20640, Tempo, 497925
1, 20880, Tempo, 487805
1, 21120, Tempo, 495868
1, 21360, Tempo, 528634
1, 21600, Tempo, 582524
1, 21720, Tempo, 533333
1, 21840, Tempo, 545455
